Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,LCA_TaxId
"820|AF013606.1 Bacteroides uniformis RecA (recA) gene",246,0,388,73.45,73.71,99.65,135.66,2.29,245.53,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,820
155900|GQ882108.1 Uncultured organism clone VC1CY30TR genomic sequence,1298,0,778,100.0,100.0,100.0,100.0,9.56,1297.06,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882111.1 Uncultured organism clone VC1CY33TF genomic sequence,968,0,755,51.92,54.04,96.08,185.05,6.71,967.08,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,,
155900|GQ882112.1 Uncultured organism clone VC1CY33TR genomic sequence,2412,0,820,100.0,100.0,100.0,100.0,15.32,2411.01,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882114.1 Uncultured organism clone VC1CY34TR genomic sequence,1584,0,842,100.0,100.0,100.0,100.0,7.69,1582.98,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882135.1 Uncultured organism clone VC1CY50TR genomic sequence,3500,0,916,100.0,100.0,100.0,100.0,20.0,3498.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882139.1 Uncultured organism clone VC1CY54TF genomic sequence,1364,0,779,99.87,100.0,99.87,100.0,7.52,1363.06,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882140.1 Uncultured organism clone VC1CY56TF genomic sequence,3188,0,802,99.5,100.0,99.5,100.0,18.04,3187.03,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882141.1 Uncultured organism clone VC1CY56TR genomic sequence,2884,0,805,100.0,100.0,100.0,100.0,18.62,2883.02,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882161.1 Uncultured organism clone VC1CY82TR genomic sequence,3660,0,891,99.89,100.0,99.89,100.0,19.2,3658.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882168.1 Uncultured organism clone VC1CY91TF genomic sequence,774,0,708,99.58,100.0,99.58,100.0,5.86,773.14,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882180.1 Uncultured organism clone VC1CZ08TF genomic sequence,1548,0,746,99.6,100.0,99.6,100.0,9.2,1547.1,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882181.1 Uncultured organism clone VC1CZ08TR genomic sequence,832,0,886,96.84,98.53,98.28,101.49,5.25,830.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882199.1 Uncultured organism clone VC1CZ31TF genomic sequence,902,0,645,100.0,100.0,100.0,100.0,6.73,901.22,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882200.1 Uncultured organism clone VC1CZ31TR genomic sequence,1748,0,891,100.0,100.0,100.0,100.0,9.06,1746.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882203.1 Uncultured organism clone VC1CZ34TF genomic sequence,1346,0,811,98.64,100.25,98.4,99.75,9.51,1345.02,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882204.1 Uncultured organism clone VC1CZ34TR genomic sequence,788,0,820,99.88,100.0,99.88,100.0,6.17,787.01,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882205.1 Uncultured organism clone VC1CZ38TF genomic sequence,4860,0,835,99.16,100.0,99.16,100.0,36.18,4858.99,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882206.1 Uncultured organism clone VC1CZ40TF genomic sequence,4662,0,806,99.88,100.0,99.88,100.0,25.1,4661.02,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882207.1 Uncultured organism clone VC1CZ41TR genomic sequence,3228,0,786,99.36,100.0,99.36,100.0,21.63,3227.05,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882208.1 Uncultured organism clone VC1CZ43TF genomic sequence,4418,0,971,99.49,100.93,98.57,99.08,22.33,4416.82,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882209.1 Uncultured organism clone VC1CZ43TR genomic sequence,4690,0,914,99.78,100.0,99.78,100.0,24.6,4688.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882227.1 Uncultured organism clone VC1CZ58TF genomic sequence,872,0,860,93.26,93.37,99.88,107.1,4.17,870.96,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882231.1 Uncultured organism clone VC1CZ60TF genomic sequence,2160,0,917,99.89,100.44,99.46,99.57,10.49,2158.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882232.1 Uncultured organism clone VC1CZ60TR genomic sequence,1572,0,826,99.15,99.15,100.0,100.85,9.09,1571.0,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882235.1 Uncultured organism clone VC1CZ67TR genomic sequence,530,0,846,84.28,85.46,98.62,117.01,3.16,528.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882241.1 Uncultured organism clone VC1CZ77TF genomic sequence,1768,0,904,98.78,100.55,98.24,99.45,10.29,1766.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882242.1 Uncultured organism clone VC1CZ77TR genomic sequence,750,0,917,74.37,76.34,97.43,131.0,4.85,748.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882247.1 Uncultured organism clone VC1CZ81TF genomic sequence,2550,0,774,98.84,100.0,98.84,100.0,19.72,2549.06,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882249.1 Uncultured organism clone VC1CZ85TR genomic sequence,414,0,359,98.33,100.0,98.33,100.0,5.22,413.56,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882250.1 Uncultured organism clone VC1CZ86TF genomic sequence,1312,0,852,99.77,100.12,99.65,99.88,8.14,1310.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882266.1 Uncultured organism clone VC1D009TF genomic sequence,2306,0,955,99.16,100.1,99.06,99.9,14.4,2304.84,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882272.1 Uncultured organism clone VC1D015TR genomic sequence,2610,0,923,83.64,86.46,96.74,115.66,15.1,2608.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882275.1 Uncultured organism clone VC1D026TR genomic sequence,530,0,884,85.52,86.43,98.95,115.71,3.13,528.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882278.1 Uncultured organism clone VC1D029TF genomic sequence,796,0,978,97.14,98.57,98.55,101.45,4.66,794.81,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882279.1 Uncultured organism clone VC1D029TR genomic sequence,672,0,938,97.76,100.0,97.76,100.0,4.51,670.86,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882302.1 Uncultured organism clone VC1D050TR genomic sequence,1118,0,921,97.5,97.61,99.89,102.45,5.81,1116.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882319.1 Uncultured organism clone VC1D063TR genomic sequence,1200,0,852,99.3,100.0,99.3,100.0,7.81,1198.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882328.1 Uncultured organism clone VC1D069TR genomic sequence,3618,0,919,99.46,100.0,99.46,100.0,18.18,3616.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882347.1 Uncultured organism clone VC1D090TF genomic sequence,4024,0,888,99.66,100.0,99.66,100.0,21.11,4022.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882348.1 Uncultured organism clone VC1D090TR genomic sequence,3558,0,906,100.0,100.0,100.0,100.0,18.26,3556.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882351.1 Uncultured organism clone VC1D093TF genomic sequence,1110,0,827,100.0,100.0,100.0,100.0,6.85,1109.0,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882352.1 Uncultured organism clone VC1D093TR genomic sequence,2382,0,899,99.89,100.0,99.89,100.0,12.29,2380.91,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882355.1 Uncultured organism clone VC1D096TF genomic sequence,4902,0,908,99.45,100.11,99.34,99.89,26.19,4900.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882357.1 Uncultured organism clone VC1D103TF genomic sequence,618,0,964,87.86,90.35,97.24,110.68,3.58,616.83,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882358.1 Uncultured organism clone VC1D104TF genomic sequence,2066,0,966,99.38,100.0,99.38,100.0,9.81,2064.83,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882363.1 Uncultured organism clone VC1D108TF genomic sequence,2602,0,895,99.89,100.0,99.89,100.0,12.15,2600.91,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882364.1 Uncultured organism clone VC1D108TR genomic sequence,2662,0,857,100.0,100.0,100.0,100.0,12.57,2660.96,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882365.1 Uncultured organism clone VC1D109TR genomic sequence,1484,0,863,89.8,89.8,100.0,111.35,9.36,1482.95,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882370.1 Uncultured organism clone VC1D114TR genomic sequence,4032,0,930,99.46,100.11,99.36,99.89,22.94,4030.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882375.1 Uncultured organism clone VC1D118TR genomic sequence,3454,0,882,99.89,100.0,99.89,100.0,18.32,3452.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882380.1 Uncultured organism clone VC1D122TR genomic sequence,3876,0,906,99.78,100.0,99.78,100.0,19.77,3874.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882395.1 Uncultured organism clone VC1D140TF genomic sequence,1830,0,823,99.76,100.0,99.76,100.0,10.48,1829.0,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882396.1 Uncultured organism clone VC1D141TR genomic sequence,3340,0,939,99.36,100.0,99.36,100.0,18.62,3338.86,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882398.1 Uncultured organism clone VC1D146TR genomic sequence,816,0,917,68.7,69.9,98.28,143.06,4.38,814.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882406.1 Uncultured organism clone VC1D154TF genomic sequence,2634,0,919,99.89,100.0,99.89,100.0,11.87,2632.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882407.1 Uncultured organism clone VC1D154TR genomic sequence,1926,0,829,100.0,100.0,100.0,100.0,10.58,1924.99,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882410.1 Uncultured organism clone VC1D156TF genomic sequence,1112,0,810,83.46,84.57,98.69,118.25,8.46,1111.02,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882411.1 Uncultured organism clone VC1D156TR genomic sequence,552,0,932,90.45,91.52,98.83,109.26,4.07,550.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882412.1 Uncultured organism clone VC1D157TF genomic sequence,1944,0,932,100.0,100.0,100.0,100.0,10.68,1942.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882413.1 Uncultured organism clone VC1D157TR genomic sequence,1818,0,880,99.66,100.0,99.66,100.0,10.68,1816.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882414.1 Uncultured organism clone VC1D158TF genomic sequence,1818,0,867,96.31,96.42,99.88,103.71,11.35,1816.95,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882415.1 Uncultured organism clone VC1D158TR genomic sequence,738,0,892,92.15,92.71,99.4,107.86,5.39,736.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882422.1 Uncultured organism clone VC1D164TR genomic sequence,1854,0,934,96.04,96.68,99.34,103.43,11.09,1852.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882423.1 Uncultured organism clone VC1D165TF genomic sequence,2062,0,949,99.79,99.79,100.0,100.21,11.48,2060.85,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882424.1 Uncultured organism clone VC1D165TR genomic sequence,712,0,929,91.5,91.71,99.77,109.04,4.14,710.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882428.1 Uncultured organism clone VC1D168TR genomic sequence,1272,0,913,82.91,83.35,99.47,119.97,5.79,1270.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882433.1 Uncultured organism clone VC1D171TF genomic sequence,578,0,950,78.0,78.21,99.73,127.86,2.53,576.85,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882438.1 Uncultured organism clone VC1D175TF genomic sequence,2370,0,841,99.76,100.0,99.76,100.0,14.98,2368.98,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882439.1 Uncultured organism clone VC1D175TR genomic sequence,3392,0,931,98.93,100.0,98.93,100.0,18.74,3390.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882440.1 Uncultured organism clone VC1D176TR genomic sequence,962,0,874,86.61,88.9,97.43,112.48,6.35,960.94,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882445.1 Uncultured organism clone VC1D180TR genomic sequence,1008,0,914,98.8,100.0,98.8,100.0,6.18,1006.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882452.1 Uncultured organism clone VC1D189TF genomic sequence,3126,0,859,100.0,100.0,100.0,100.0,17.21,3124.96,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882456.1 Uncultured organism clone VC1D203TF genomic sequence,4968,0,963,99.79,100.0,99.79,100.0,21.41,4966.83,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882457.1 Uncultured organism clone VC1D203TR genomic sequence,3394,0,784,99.49,100.0,99.49,100.0,20.42,3393.05,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882462.1 Uncultured organism clone VC1D207TF genomic sequence,1720,0,631,99.84,100.0,99.84,100.0,11.32,1719.23,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882473.1 Uncultured organism clone VC1D217TF genomic sequence,4844,0,966,99.69,100.0,99.69,100.0,23.28,4842.83,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882479.1 Uncultured organism clone VC1D221TR genomic sequence,850,0,928,76.19,76.4,99.72,130.89,4.11,848.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882488.1 Uncultured organism clone VC1D236TF genomic sequence,1098,0,729,99.86,100.0,99.86,100.0,7.38,1097.12,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882489.1 Uncultured organism clone VC1D236TR genomic sequence,536,0,846,66.78,68.44,97.58,146.11,3.16,534.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882498.1 Uncultured organism clone VC1D248TF genomic sequence,1648,0,849,100.0,100.0,100.0,100.0,9.14,1646.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882501.1 Uncultured organism clone VC1D253TF genomic sequence,476,0,579,98.79,100.17,98.62,99.83,5.06,475.3,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882502.1 Uncultured organism clone VC1D253TR genomic sequence,698,0,927,85.22,85.76,99.37,116.6,5.28,696.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882507.1 Uncultured organism clone VC1D257TR genomic sequence,9374,0,880,99.89,100.11,99.77,99.89,56.02,9372.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882512.1 Uncultured organism clone VC1D260TF genomic sequence,666,0,299,96.66,97.32,99.31,102.75,8.58,665.64,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882513.1 Uncultured organism clone VC1D260TR genomic sequence,4468,0,868,99.54,100.0,99.54,100.0,23.03,4466.95,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882514.1 Uncultured organism clone VC1D262TF genomic sequence,1356,0,885,96.61,96.61,100.0,103.51,9.3,1354.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882515.1 Uncultured organism clone VC1D262TR genomic sequence,2388,0,927,99.89,100.0,99.89,100.0,13.85,2386.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882516.1 Uncultured organism clone VC1D263TF genomic sequence,1824,0,823,100.0,100.12,99.88,99.88,11.0,1823.0,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882517.1 Uncultured organism clone VC1D265TF genomic sequence,3126,0,860,99.53,100.0,99.53,100.0,17.64,3124.96,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882520.1 Uncultured organism clone VC1D268TF genomic sequence,2414,0,954,99.06,100.1,98.95,99.9,11.62,2412.84,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882521.1 Uncultured organism clone VC1D270TR genomic sequence,712,0,914,83.92,84.25,99.61,118.7,5.32,710.89,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882526.1 Uncultured organism clone VC1D274TR genomic sequence,2166,0,890,100.0,100.0,100.0,100.0,10.62,2164.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882539.1 Uncultured organism clone VC1D285TF genomic sequence,512,0,617,92.54,93.19,99.3,107.3,3.99,511.25,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882541.1 Uncultured organism clone VC1D287TR genomic sequence,2782,0,812,99.51,100.0,99.51,100.0,17.1,2781.01,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882553.1 Uncultured organism clone VC1D304TF genomic sequence,522,0,881,87.85,88.31,99.49,113.24,2.89,520.93,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882562.1 Uncultured organism clone VC1D318TR genomic sequence,1502,0,929,99.35,100.11,99.25,99.89,7.4,1500.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882563.1 Uncultured organism clone VC1D321TF genomic sequence,3744,0,805,99.25,100.0,99.25,100.0,22.64,3743.02,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882564.1 Uncultured organism clone VC1D323TR genomic sequence,474,0,892,93.72,97.42,96.2,102.65,3.32,472.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,,
155900|GQ882566.1 Uncultured organism clone VC1D325TR genomic sequence,2168,0,894,97.43,101.12,96.35,98.89,14.03,2166.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882575.1 Uncultured organism clone VC1D336TR genomic sequence,3284,0,792,100.0,100.0,100.0,100.0,20.06,3283.04,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882585.1 Uncultured organism clone VC1D344TR genomic sequence,4166,0,932,99.46,100.0,99.46,100.0,21.66,4164.87,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882594.1 Uncultured organism clone VC1D352TF genomic sequence,2152,0,941,99.57,99.89,99.68,100.11,11.79,2150.86,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882595.1 Uncultured organism clone VC1D353TF genomic sequence,1626,0,620,100.0,100.0,100.0,100.0,12.43,1625.25,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882596.1 Uncultured organism clone VC1D353TR genomic sequence,2184,0,923,99.78,100.0,99.78,100.0,13.54,2182.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882604.1 Uncultured organism clone VC1D358TF genomic sequence,1956,0,946,98.73,100.0,98.73,100.0,9.69,1954.85,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882605.1 Uncultured organism clone VC1D358TR genomic sequence,1624,0,863,99.77,100.0,99.77,100.0,8.9,1622.95,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882606.1 Uncultured organism clone VC1D359TF genomic sequence,1162,0,903,100.0,100.11,99.89,99.89,6.85,1160.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882607.1 Uncultured organism clone VC1D359TR genomic sequence,1772,0,888,99.89,100.0,99.89,100.0,9.81,1770.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882612.1 Uncultured organism clone VC1D363TF genomic sequence,1492,0,892,97.42,99.44,97.97,100.56,9.96,1490.92,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,
155900|GQ882613.1 Uncultured organism clone VC1D364TF genomic sequence,4134,0,951,99.68,100.0,99.68,100.0,21.08,4132.85,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882621.1 Uncultured organism clone VC1D369TR genomic sequence,1974,0,850,99.41,100.12,99.29,99.88,11.86,1972.97,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882627.1 Uncultured organism clone VC1D375TF genomic sequence,1066,0,822,84.79,85.77,98.87,116.6,6.08,1065.0,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882629.1 Uncultured organism clone VC1D378TR genomic sequence,384,0,691,86.69,86.83,99.83,115.17,2.88,383.16,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882631.1 Uncultured organism clone VC1D380TF genomic sequence,1436,0,866,98.73,100.0,98.73,100.0,9.7,1434.95,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882632.1 Uncultured organism clone VC1D380TR genomic sequence,1604,0,904,100.0,100.0,100.0,100.0,11.33,1602.9,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882633.1 Uncultured organism clone VC1D381TF genomic sequence,2104,0,812,99.88,100.0,99.88,100.0,12.63,2103.01,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882634.1 Uncultured organism clone VC1D381TR genomic sequence,1276,0,895,99.89,100.0,99.89,100.0,9.11,1274.91,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
155900|GQ882651.1 Uncultured organism clone VC1D404TR genomic sequence,618,0,926,69.44,69.65,99.69,143.57,3.63,616.88,1e-26,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism,155900
